Date and time (UTC),Rocket,Flight number,Launch site,LSP,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome, Remarks

7 January 02:19:21,Falcon 9 Block 5,Starlink V1.0-L2,Cape Canaveral SLC-40,SpaceX,Starlink x 60, SpaceX, Low Earth, Communications, In orbit, Operational,

7 January 15:20:14,Long March 3B/E,3B-Y62,Xichang LC-2,CASC,TJSW-5,Ministry of Agriculture and Rural Affairs,Geosynchronous,Technology demonstration,In orbit,Operational

15 January 02:53,Long March 2D,2D-Y58,Taiyuan LC-9,CASC,"Jilin-1 Kuanfu-01 (Wideband-01) 
ÑuSat 7 (Sophie) 
ÑuSat 8 (Marie) 
Tianqi-5","Chang Guang Satellite Technology
Satellogic
Satellogic
Guodian Gaoke","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Earth observation
Earth observation
Tech demonstration","In orbit
In orbit
In orbit
Mid October (TBD),First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.,First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.,First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.,First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.,First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.,First flight of the Firefly Alpha commercial smallsat launcher. 26 cubesat rideshare payloads will be launched through Firefly's Dedicated Research and Education Accelerator Mission (DREAM) program. Firefly's experimental orbit transfer vehicle (OTV) will also be tested on this flight.
17 October ,Soyuz ST-A / Fregat-M,VS24,Kourou ELS,Kourou ELS,Arianespace,Arianespace
17 October ,Falcon Eye 2,UAE Armed Forces,Low Earth (SSO),Reconnaissance (IMINT),,
30 October ,Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
30 October ,SpaceX CRS-21,NASA,Low Earth (ISS),ISS logistics,,
30 October ,Bishop Airlock Module,NanoRacks / NASA,Low Earth (ISS),Satellite deployment / ISS assembly,,
30 October ,NanoRacks' Bishop Airlock Module will launch on this resupply flight.,NanoRacks' Bishop Airlock Module will launch on this resupply flight.,NanoRacks' Bishop Airlock Module will launch on this resupply flight.,NanoRacks' Bishop Airlock Module will launch on this resupply flight.,NanoRacks' Bishop Airlock Module will launch on this resupply flight.,NanoRacks' Bishop Airlock Module will launch on this resupply flight.
October (TBD),Rocket 3,Rocket 3.2,Kodiak,Kodiak,Astra,Astra
October (TBD),⚀ TBA,TBA,Low Earth (SSO),TBA,,
October (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
October (TBD),Starlink × 60,SpaceX,Low Earth,Communications,,
October (TBD),⚀  Kepler × (unspecified number),Kepler,Low Earth,Communications,,
October (TBD),Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.,Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.,Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.,Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.,Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.,Starlink SmallSat Rideshare mission to launch Kepler nanosatellites.
October (TBD),Jielong 1,,Wenchang,Wenchang,China Rocket,China Rocket
October (TBD),Hainan-1 × 4,Sanya Institute of Remote Sensing,Low Earth,Earth observation,,
October (TBD),Long March 5 / YZ-2,Y5,Wenchang LC-1,Wenchang LC-1,CASC,CASC
October (TBD),Chang'e 5,CNSA,Selenocentric,Lunar lander,,
October (TBD),China's first lunar sample return mission.,China's first lunar sample return mission.,China's first lunar sample return mission.,China's first lunar sample return mission.,China's first lunar sample return mission.,China's first lunar sample return mission.
October (TBD),Long March 6,,Taiyuan LC-16,Taiyuan LC-16,CASC,CASC
October (TBD),TBA,TBA,Low Earth (SSO),Earth observation,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  November ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
3 November ,Angara A5 / Briz-M,,Plesetsk Site 35/1,Plesetsk Site 35/1,RVSN RF,RVSN RF
3 November ,IPM 2 (dummy payload),VKS,Geosynchronous,Flight test,,
6 November ,Soyuz ST-A / Fregat-M,VS25,Kourou ELS,Kourou ELS,Arianespace,Arianespace
6 November ,CSO 2,French Armed Forces,Low Earth (SSO),Reconnaissance,,
10 November ,Falcon 9 Block 5,,Vandenberg SLC-4E,Vandenberg SLC-4E,SpaceX,SpaceX
10 November ,Sentinel-6 Michael Freilich,NASA / NOAA / ESA / Eumetsat,Low Earth,Earth observation,,
13 November ,Atlas V N22,AV-082,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
13 November ,Starliner Boe-OFT 2,Boeing / NASA,Low Earth (ISS),Flight test / ISS logistics,,
13 November ,"Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program.","Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program.","Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program.","Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program.","Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program.","Boeing Orbital Flight Test 2 of Starliner, as part of the Commercial Crew Development program."
25 November ,Soyuz-2.1b / Fregat,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
25 November ,GLONASS-M 761,VKS,Medium Earth,Navigation,,
November (TBD),Falcon 9 Block 5,,Vandenberg SLC-4E,Vandenberg SLC-4E,SpaceX,SpaceX
November (TBD),SARah 1,Bundeswehr,Low Earth (SSO),Reconnaissance,,
November (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
November (TBD),Starlink × 60,SpaceX,Low Earth,Communications,,
November (TBD),Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.,Scheduled Starlink SmallSat Rideshare mission.
November (TBD),Soyuz-2.1a / Fregat,,Baikonur,Baikonur,Glavkosmos,Glavkosmos
November (TBD),CAS500-1,KARI,Low Earth (SSO),Earth observation,,
November (TBD),ELSA-d,Astroscale,Low Earth (SSO),Technology demonstration,,
November (TBD),Fukui Prefectural Satellite ,Axelspace / FSTRA,Low Earth (SSO),Earth observation,,
November (TBD),GRUS-1 × 3,Axelspace,Low Earth (SSO),Earth observation,,
November (TBD),Challenge One ,Telnet Tunisie,Low Earth (SSO),Communications,,
November (TBD),⚀  Kepler × 2,Kepler,Low Earth (SSO),Communications,,
November (TBD),⚀  Pixxel ,Pixxel,Low Earth (SSO),Earth observationTechnology demonstration,,
November (TBD),⚀  HSE Remote Sensing Sat (НИУ ВШЭ - ДЗЗ),HSE,Low Earth (SSO),Earth observationEducation,,
November (TBD),⚀  OrbiCraft-Zorkiy ,Sputnix,Low Earth (SSO),Earth observation,,
November (TBD),⚀  Sirius Remote Sensing Sat (Сириус-ДЗЗ),Sirius Educational Centre,Low Earth (SSO),Earth observationEducation,,
November (TBD),⚀  TBA,TBA,Low Earth (SSO),Education,,
November (TBD),UniSat-7,GAUSS Srl,Low Earth (SSO),Satellite dispenser,,
November (TBD),Vigoride 1 (VR-1) Strait of Magellan,Momentus Space,Low Earth (SSO),Space tug,,
November (TBD),⚀  SteamJet ,SteamJet Space Systems,Low Earth (SSO),Technology demonstration,,
November (TBD),⚀  Lemur-2 × 1,Spire Global,Low Earth (SSO),Earth observation,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  December ,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
1 December ,Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
1 December ,Starlink × 60,SpaceX,Low Earth,Communications,,
1 December ,⚀  PTD-1,NASA Ames / Tyvak,Low Earth,Technology demonstration,,
1 December ,"ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3.","ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3.","ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3.","ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3.","ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3.","ELaNa 35 will launch along with the third Starlink rideshare mission contracted with Spaceflight Industries, SXRS-3."
9 December ,Soyuz-2.1b / Fregat-M,,Baikonur,Baikonur,Roscosmos,Roscosmos
9 December ,Arktika-M №1,Roscosmos,Molniya,Earth observation,,
11 December ,Soyuz-2.1a,,Baikonur Site 31/6,Baikonur Site 31/6,Roscosmos,Roscosmos
11 December ,Progress MS-16 / 77P,Roscosmos,Low Earth (ISS),ISS logistics,,
15 December ,Soyuz ST-B / Fregat-MT,VS26,Kourou ELS,Kourou ELS,Arianespace,Arianespace
15 December ,"Galileo FOC 23, 24",ESA,Medium Earth,Navigation,,
15 December ,"Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite.","Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite.","Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite.","Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite.","Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite.","Eighth Galileo launch with Soyuz ST-B, carrying Patrick and a yet-to-be-named satellite."
16 December ,Falcon 9 Block 5,,Vandenberg SLC-4E,Vandenberg SLC-4E,SpaceX,SpaceX
16 December ,Vigoride 2 (VR-2) Amber Road,Momentus Space,Low Earth (SSO),Space tug,,
16 December ,Alba Cluster 3,Alba Orbital,Low Earth (SSO),PocketQube dispenser,,
16 December ,⚀  Aurora,Aurora Propulsion Technologies,Low Earth (SSO),Technology demonstration,,
16 December ,⚀  GNOMES-2,PlanetIQ,Low Earth (SSO),Radio occultation,,
16 December ,⚀  Kepler × (unspecified number),Kepler,Low Earth (SSO),Communications,,
16 December ,⚀  Lemur-2 × 8,Spire Global,Low Earth (SSO),Earth observation,,
16 December ,⚀  SpaceBEE × 12,Swarm Technologies,Low Earth (SSO),Communications,,
16 December ,⚀  LabSat ,SatRevolution,Low Earth (SSO),Technology demonstration,,
16 December ,⚀   SW1FT ,SatRevolution / Spiral Blue,Low Earth (SSO),Technology demonstration,,
16 December ,⚀  LINCS,General Atomics,Low Earth (SSO),Laser communications,,
16 December ,Umbra SAR ,Umbra Lab,Low Earth (SSO),Earth observation,,
16 December ,XR-1,R2 Space,Low Earth (SSO),Earth observation,,
16 December ,Exoport ,Exolaunch,Low Earth (SSO),Satellite dispenser,,
16 December ,⚀  NanoAvionics cubesat ,TBA,Low Earth (SSO),TBA,,
16 December ,YAM-3,Loft Orbital,Low Earth (SSO),Technology demonstration,,
16 December ,ION CubeSat Carrier 2,D-Orbit,Low Earth (SSO),CubeSat deployer,,
16 December ,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit. Up to 10 PocketQubes will be deployed as part of Alba Cluster 3.
December (TBD),Vega-C,VC01,Kourou ELV,Kourou ELV,Arianespace,Arianespace
December (TBD),LARES 2,ASI,Low Earth,Laser rangingGeodesy,,
December (TBD),First flight of Vega-C.,First flight of Vega-C.,First flight of Vega-C.,First flight of Vega-C.,First flight of Vega-C.,First flight of Vega-C.
Q4 (TBD),Ariane 5 ECA,VA254,Kourou ELA-3,Kourou ELA-3,Arianespace,Arianespace
Q4 (TBD),Eutelsat Quantum,Eutelsat,Geosynchronous,Communications,,
Q4 (TBD),Star One D2,Star One,Geosynchronous,Communications,,
Q4 (TBD),Atlas V 511,AV-085,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
Q4 (TBD),AFSPC-8 / GSSAP 5,U.S. Space Force,Geosynchronous,Space surveillance,,
Q4 (TBD),AFSPC-8 / GSSAP 6,U.S. Space Force,Geosynchronous,Space surveillance,,
Q4 (TBD),Blue Whale 1,,Whalers Way,Whalers Way,Perigee Aerospace,Perigee Aerospace
Q4 (TBD),Dummy payload,Perigee Aerospace,Low Earth,Flight test,,
Q4 (TBD),First flight of Blue Whale 1.,First flight of Blue Whale 1.,First flight of Blue Whale 1.,First flight of Blue Whale 1.,First flight of Blue Whale 1.,First flight of Blue Whale 1.
Q4 (TBD),Delta IV Heavy,,Vandenberg SLC-6,Vandenberg SLC-6,ULA,ULA
Q4 (TBD),NROL-82,NRO,Polar orbit,Reconnaissance,,
Q4 (TBD),Electron,,Mahia LC-1,Mahia LC-1,Rocket Lab,Rocket Lab
Q4 (TBD),StriX-α,Synspective,Low Earth (SSO),Earth observation,,
Q4 (TBD),Falcon 9 Block 5,,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
Q4 (TBD),Türksat 5A,Türksat,Geosynchronous,Communications,,
Q4 (TBD),Falcon Heavy,,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
Q4 (TBD),USSF-44,U.S. Space Force,Geosynchronous,Military communications,,
Q4 (TBD),⚀  TETRA-1,U.S. Space Force,Geosynchronous,Technology demonstration,,
Q4 (TBD),GSLV Mk III,,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
Q4 (TBD),DRSS-1,ISRO,Geosynchronous,Communications,,
Q4 (TBD),First of two Indian Data Relay Satellites.,First of two Indian Data Relay Satellites.,First of two Indian Data Relay Satellites.,First of two Indian Data Relay Satellites.,First of two Indian Data Relay Satellites.,First of two Indian Data Relay Satellites.
Q4 (TBD),GSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
Q4 (TBD),GSAT-7R,ISRO,Geosynchronous,Communications,,
Q4 (TBD),Will eventually replace GSAT-7.,Will eventually replace GSAT-7.,Will eventually replace GSAT-7.,Will eventually replace GSAT-7.,Will eventually replace GSAT-7.,Will eventually replace GSAT-7.
Q4 (TBD),H3-22S,,Tanegashima LA-Y2,Tanegashima LA-Y2,MHI,MHI
Q4 (TBD),ALOS-3,JAXA,Low Earth (SSO),Earth observation,,
Q4 (TBD),First flight of the H3 Launch Vehicle.,First flight of the H3 Launch Vehicle.,First flight of the H3 Launch Vehicle.,First flight of the H3 Launch Vehicle.,First flight of the H3 Launch Vehicle.,First flight of the H3 Launch Vehicle.
Q4 (TBD),LauncherOne,F3,"Cosmic Girl, Andersen","Cosmic Girl, Andersen",VOX Space,VOX Space
Q4 (TBD),⚀  PAN,Cornell University,Low Earth,Technology demonstration,,
Q4 (TBD),Launch of NASA's ELaNa 29 mission.,Launch of NASA's ELaNa 29 mission.,Launch of NASA's ELaNa 29 mission.,Launch of NASA's ELaNa 29 mission.,Launch of NASA's ELaNa 29 mission.,Launch of NASA's ELaNa 29 mission.
Q4 (TBD),LauncherOne,,"Cosmic Girl, Mojave","Cosmic Girl, Mojave",Virgin Orbit,Virgin Orbit
Q4 (TBD),⚀  Pearl × 8,Sky and Space Global,Low Earth,IoT,,
Q4 (TBD),Minotaur I,,MARS LP-0B,MARS LP-0B,Northrop Grumman,Northrop Grumman
Q4 (TBD),NROL-111,NRO,TBA,Reconnaissance,,
Q4 (TBD),PSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
Q4 (TBD),SPADEX,ISRO,Low Earth,Technology demonstration,,
Q4 (TBD),Soyuz-2.1b / Fregat,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
Q4 (TBD),GLONASS-K 16 (K1 №5),VKS,Medium Earth,Navigation,,
Q4 (TBD),"After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants.","After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants.","After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants.","After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants.","After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants.","After the initial two prototypes launched in 2011 and 2014, only nine more GLONASS-K1 models will be produced. They will be launched as needed to replace end-of-life GLONASS-M variants."
Q4 (TBD),Soyuz-2.1b / Fregat,,Plesetsk Site 43/4,Plesetsk Site 43/4,Roscosmos,Roscosmos
Q4 (TBD),Gonets-M 20,Gonets Satellite System,Low Earth,Communications,,
Q4 (TBD),Gonets-M 21,Gonets Satellite System,Low Earth,Communications,,
Q4 (TBD),Gonets-M 22,Gonets Satellite System,Low Earth,Communications,,
Q4 (TBD),Vega,VV18,Kourou ELV,Kourou ELV,Arianespace,Arianespace
Q4 (TBD),TBA,TBA,Low Earth (SSO),TBA,,
Q4 (TBD),TBA,,TBA,TBA,TBA,TBA
Q4 (TBD),GECAM,CAS,Low Earth,Gravitational-wave astronomy,,
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →  To be determined,←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
←  Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec →
H2 2020 (TBD),Ariane 5 ECA,,Kourou ELA-3,Kourou ELA-3,Arianespace,Arianespace
H2 2020 (TBD),Intelsat (TBD),Intelsat,Geosynchronous,Communications,,
2020 (TBD),Atlas V 551,,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
2020 (TBD),STP-3 (STPSat-6),USAF Advanced Systems and Development Directorate,Geosynchronous,Technology demonstration,,
2020 (TBD),The first GEM 63 solid rocket motors will fly on this mission.,The first GEM 63 solid rocket motors will fly on this mission.,The first GEM 63 solid rocket motors will fly on this mission.,The first GEM 63 solid rocket motors will fly on this mission.,The first GEM 63 solid rocket motors will fly on this mission.,The first GEM 63 solid rocket motors will fly on this mission.
2020 (TBD),Electron,,Mahia LC-1,Mahia LC-1,Rocket Lab,Rocket Lab
2020 (TBD),⚀  Dragracer 1,TriSept,Low Earth (SSO),Technology demonstration,,
2020 (TBD),⚀  Dragracer 2,TriSept,Low Earth (SSO),Technology demonstration,,
2020 (TBD),"The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris.","The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris.","The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris.","The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris.","The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris.","The Dragracer mission will test Tethers Unlimited's Terminator Tape, an electrodynamic tether that can passively de-orbit satellites in order to reduce space debris."
2020 (TBD),Electron,,Mahia LC-1,Mahia LC-1,Rocket Lab,Rocket Lab
2020 (TBD),Photon,Rocket Lab,TBA,Satellite bus,,
2020 (TBD),First launch of the Photon satellite bus.,First launch of the Photon satellite bus.,First launch of the Photon satellite bus.,First launch of the Photon satellite bus.,First launch of the Photon satellite bus.,First launch of the Photon satellite bus.
2020 (TBD),Firefly Alpha,F2,Vandenberg SLC-2W,Vandenberg SLC-2W,Firefly,Firefly
2020 (TBD),Carbonite 4,SSTL,Low Earth (SSO),Technology demonstration,,
2020 (TBD),TBA,TBA,Low Earth (SSO),TBA,,
2020 (TBD),Firefly Alpha,F3,Vandenberg SLC-2W,Vandenberg SLC-2W,Firefly,Firefly
2020 (TBD),TBA,TBA,Low Earth (SSO),TBA,,
2020 (TBD),GSLV Mk II,F10,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
2020 (TBD),GISAT 1,ISRO,Geosynchronous,Earth observation,,
2020 (TBD),GSLV Mk II,F12,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
2020 (TBD),GISAT 2,ISRO,Geosynchronous,Earth observation,,
2020 (TBD),GSLV Mk II,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),GSAT-7C,ISRO,Geosynchronous,Communications,,
2020 (TBD),GSLV Mk III,M2,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
2020 (TBD),GSAT-20,ISRO,Geosynchronous,Communications,,
2020 (TBD),GSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),GSAT-32,ISRO,Geosynchronous,Communications,,
H2 2020 (TBD),Hapith V,,Taitung Launch Site ,Taitung Launch Site ,TiSPACE,TiSPACE
H2 2020 (TBD),TBA,TBA,Low Earth,Flight test,,
H2 2020 (TBD),First flight of Hapith V.,First flight of Hapith V.,First flight of Hapith V.,First flight of Hapith V.,First flight of Hapith V.,First flight of Hapith V.
H2 2020 (TBD),Hapith V,,Taitung Launch Site ,Taitung Launch Site ,TiSPACE,TiSPACE
H2 2020 (TBD),TBA,TBA,Low Earth,TBA,,
H2 2020 (TBD),First commercial Hapith V launch.,First commercial Hapith V launch.,First commercial Hapith V launch.,First commercial Hapith V launch.,First commercial Hapith V launch.,First commercial Hapith V launch.
2020 (TBD),H-IIA 202,,Tanegashima LA-Y1,Tanegashima LA-Y1,MHI,MHI
2020 (TBD),QZS-1R,CAO,Tundra,Navigation,,
2020 (TBD),Replacement for QZS-1 (Michibiki-1).,Replacement for QZS-1 (Michibiki-1).,Replacement for QZS-1 (Michibiki-1).,Replacement for QZS-1 (Michibiki-1).,Replacement for QZS-1 (Michibiki-1).,Replacement for QZS-1 (Michibiki-1).
2020 (TBD),H-IIA 204,,Tanegashima LA-Y1,Tanegashima LA-Y1,MHI,MHI
2020 (TBD),JDRS,JAXA,Geosynchronous,Data relay,,
2020 (TBD),Japanese Optical Data Relay Satellite.,Japanese Optical Data Relay Satellite.,Japanese Optical Data Relay Satellite.,Japanese Optical Data Relay Satellite.,Japanese Optical Data Relay Satellite.,Japanese Optical Data Relay Satellite.
2020 (TBD),Hyperbola-1,Y2,Jiuquan,Jiuquan,i-Space,i-Space
2020 (TBD),TBA,TBA,Low Earth,TBA,,
2020 (TBD),Second Hyperbola-1 flight.,Second Hyperbola-1 flight.,Second Hyperbola-1 flight.,Second Hyperbola-1 flight.,Second Hyperbola-1 flight.,Second Hyperbola-1 flight.
2020 (TBD),Jielong 2,,Jiuquan LA-4,Jiuquan LA-4,China Rocket,China Rocket
2020 (TBD),TBA,TBA,Low Earth (SSO),TBA,,
2020 (TBD),"First flight of Jielong 2, also known as Smart Dragon 2 (SD-2).","First flight of Jielong 2, also known as Smart Dragon 2 (SD-2).","First flight of Jielong 2, also known as Smart Dragon 2 (SD-2).","First flight of Jielong 2, also known as Smart Dragon 2 (SD-2).","First flight of Jielong 2, also known as Smart Dragon 2 (SD-2).","First flight of Jielong 2, also known as Smart Dragon 2 (SD-2)."
2020 (TBD),Kuaizhou 1A,Y3,Jiuquan SLS-2,Jiuquan SLS-2,ExPace,ExPace
2020 (TBD),Jilin-1 TBA,Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,,
2020 (TBD),Kuaizhou 1A,Y4,Jiuquan SLS-2,Jiuquan SLS-2,ExPace,ExPace
2020 (TBD),Jilin-1 TBA,Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,,
2020 (TBD),Kuaizhou 1A,Y5,Jiuquan SLS-2,Jiuquan SLS-2,ExPace,ExPace
2020 (TBD),Jilin-1 TBA,Chang Guang Satellite Technology,Low Earth (SSO),Earth observation,,
2020 (TBD),Kuaizhou 11,,Jiuquan,Jiuquan,ExPace,ExPace
2020 (TBD),Gamma-ray Burst Detection Satellite (JSBT),Shanghai Microsatellite Engineering Center,Low Earth (SSO),Technology demonstration,,
2020 (TBD),Xiangrikui 1A (Sunflower-1A),Beijing Future Navigation Technology,Low Earth (SSO),Technology demonstration,,
2020 (TBD),Xiangrikui 1B (Sunflower-1B),Beijing Future Navigation Technology,Low Earth (SSO),Technology demonstration,,
2020 (TBD),⚀  Xiaoxiang 4 (Tianyi 4),Tianyi Research Institute,Low Earth (SSO),X-ray astronomy,,
2020 (TBD),Zhongwei 1,Galaxy Space,Low Earth (SSO),Communications (5G),,
2020 (TBD),LauncherOne,,"Cosmic Girl, Mojave","Cosmic Girl, Mojave",Virgin Orbit,Virgin Orbit
2020 (TBD),⚀  HALO-Net Free Flyer,U.S. Navy / Iridium,Low Earth,Technology demonstration / Optical communications,,
